Operation Date;Operation Type;Symbol;Description;Trade Action;Qty;Price;Fees;Net amount;Saldo
2024-07-01T14:13:24.117Z;TRANSACTION;;DEPOSIT;;0;0;0;104,99;104,97
2024-06-03T14:28:41.510Z;TRADE;VOO;BUY - VOO;BUY;0,22646;485,72;0,15;-110,15;-0,02
2024-06-03T14:21:36.950Z;TRANSACTION;;DEPOSIT;;0;0;0;110;110,13
2024-05-02T13:48:23.294Z;TRADE;VOO;BUY - VOO;BUY;0,23403;461,4699;0,15;-108,15;0,13
2024-05-02T13:33:37.194Z;TRANSACTION;;DEPOSIT;;0;0;0;101,99;108,28
2024-05-01T11:45:56.656Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-0,08;6,29
2024-05-01T11:45:56.656Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;0,28;6,37
2024-04-01T17:18:37.823Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;8,68;6,09
2024-04-01T17:18:37.823Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-2,6;-2,59
2024-04-01T14:26:36.832Z;TRADE;QQQ;BUY - QQQ;BUY;0,22405;445,8677;0,15;-100,05;0,01
2024-04-01T14:25:27.280Z;TRADE;VOO;BUY - VOO;BUY;0,20798;480,8154;0,15;-100,15;100,06
2024-04-01T14:06:32.484Z;TRANSACTION;;DEPOSIT;;0;0;0;200,03;200,21
2024-03-05T18:50:47.795Z;TRADE;QQQ;BUY - QQQ;BUY;0,2299;434,9579;;-100,15;0,18
2024-03-05T18:50:21.922Z;TRADE;VOO;BUY - VOO;BUY;0,2146;465,9657;0,15;-100,15;100,33
2024-03-04T20:49:30.729Z;TRANSACTION;;DEPOSIT;;0;0;0;200,03;200,48
2024-02-01T14:34:05.721Z;TRADE;QQQ;BUY - QQQ;BUY;0,25056;419,0463;0,15;-105,15;0,45
2024-02-01T14:33:20.271Z;TRADE;VOO;BUY - VOO;BUY;0,23549;445,8744;0,15;-105,15;105,6
2024-02-01T13:33:28.636Z;TRANSACTION;;DEPOSIT;;0;0;0;210,01;210,75
2024-01-02T16:20:56.323Z;TRADE;VOO;BUY - VOO;BUY;0,2789;433,8461;0,15;-121,15;0,74
2024-01-02T14:32:24.789Z;TRANSACTION;;DEPOSIT;;0;0;0;115,01;121,89
2023-12-27T12:46:28.570Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;8,82;6,88
2023-12-27T12:46:28.570Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-2,65;-1,94
2023-12-04T16:24:53.867Z;TRADE;VOO;BUY - VOO;BUY;0,27506;418,0863;0,15;-115,15;0,71
2023-12-04T15:47:32.968Z;TRANSACTION;;DEPOSIT;;0;0;0;115,02;115,86
2023-11-01T13:41:38.398Z;TRADE;VOO;BUY - VOO;BUY;0,2962;384,8659;0,15;-114,15;0,84
2023-11-01T13:05:24.508Z;TRANSACTION;;DEPOSIT;;0;0;0;110,01;114,99
2023-10-04T11:45:46.725Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-1,81;4,98
2023-10-04T11:45:46.725Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;6,03;6,79
2023-10-02T13:59:53.372Z;TRADE;VOO;BUY - VOO;BUY;0,28046;392,2111;0,15;-110,15;0,76
2023-10-02T13:52:07.354Z;TRANSACTION;;DEPOSIT;;0;0;0;110;110,91
2023-09-01T16:54:45.310Z;TRADE;VOO;BUY - VOO;BUY;0,28724;414,2864;0,15;-119,15;0,91
2023-09-01T16:54:01.154Z;TRANSACTION;;DEPOSIT;;0;0;0;120;120,06
2023-08-01T15:26:40.600Z;TRADE;VOO;BUY - VOO;BUY;0,284;419,0063;0,15;-119,15;0,06
2023-08-01T15:18:01.129Z;TRANSACTION;;DEPOSIT;;0;0;0;115;119,21
2023-07-06T11:45:26.813Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;5;4,21
2023-07-06T11:45:26.813Z;TRANSACTION;VOO;DIVIDEND - DIVIDEND;;0;0;0;-1,5;-0,79
2023-06-30T14:38:50.528Z;TRADE;VOO;BUY - VOO;BUY;0,30254;406,5466;0,15;-123,15;0,71
2023-06-30T14:38:03.072Z;TRANSACTION;;DEPOSIT;;0;0;0;123;123,86
2023-06-01T15:51:35.419Z;TRADE;VOO;BUY - VOO;BUY;0,31038;386,6162;0,15;-120,15;0,86
2023-06-01T15:50:02.240Z;TRANSACTION;;DEPOSIT;;0;0;0;121;121,01
2023-05-02T16:11:35.290Z;TRADE;VOO;BUY - VOO;BUY;0,32234;375,3745;0,15;-121,15;0,01
2023-05-02T15:57:05.018Z;TRANSACTION;;DEPOSIT;;0;0;0;121;121,16
2023-03-31T18:03:21.392Z;TRADE;VOO;BUY - VOO;BUY;0,34163;374,2344;0,15;-128;0,16
2023-03-31T17:55:00.803Z;TRANSACTION;;DEPOSIT;;0;0;0;125;128,16
