Statement,Header,Nombre del campo,Valor del campo
Statement,Data,Title,Transaction History
Statement,Data,Period,"Abril 29, 2020 - Diciembre 26, 2025"
Statement,Data,WhenGenerated,"2025-12-28, 15:21:07 EST"
Summary,Header,Nombre del campo,Valor del campo
Summary,Data,Divisa base,USD
Summary,Data,Efectivo inicial,0.0
Summary,Data,Cambio,320.438476139
Summary,Data,Efectivo final,320.438476139
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount ,Commission,Net Amount
Transaction History,Data,2020-12-24,U***7847,MOHAWK GROUP HOLDINGS INC,Sell,MWK,-10.0,15.8,158.0,-1.0046818,156.9953182
Transaction History,Data,2020-12-18,U***7847,GOPRO INC-CLASS A,Buy,GPRO,10.0,9.0,-90.0,-0.9,-90.9
Transaction History,Data,2020-12-04,U***7847,MOHAWK GROUP HOLDINGS INC,Buy,MWK,10.0,9.49,-94.9,-0.949,-95.849
Transaction History,Data,2020-12-03,U***7847,Balance tarifa mensual mínima para Nov 2020,Other Fee,-,-,-,-18.99,-,-18.99
Transaction History,Data,2020-11-25,U***7847,NAUTILUS INC,Sell,NLS,-10.0,17.88,178.8,-1.00514148,177.79485852000002
Transaction History,Data,2020-11-04,U***7847,Balance tarifa mensual mínima para Oct 2020,Other Fee,-,-,-,-16.84,-,-16.84
Transaction History,Data,2020-11-04,U***7847,J*****04:US Consolidated Snapshot for Oct 2020,Other Fee,-,-,-,0.08,-,0.08
Transaction History,Data,2020-11-04,U***7847,J*****04:US Consolidated Snapshot for Oct 2020,Other Fee,-,-,-,-0.08,-,-0.08
Transaction History,Data,2020-10-20,U***7847,SCIPLAY CORP-CLASS A,Sell,SCPL,-6.0,13.8,82.8,-0.83054388,81.96945612
Transaction History,Data,2020-10-16,U***7847,ARMSTRONG FLOORING INC,Buy,AFI,20.0,5.33,-106.6,-1.0,-107.6
Transaction History,Data,2020-10-16,U***7847,QUMU CORP,Sell,QUMU,-20.0,4.39,87.8,-0.88232038,86.91767962
Transaction History,Data,2020-10-05,U***7847,J*****04:US Consolidated Snapshot for Sep 2020,Other Fee,-,-,-,0.06,-,0.06
Transaction History,Data,2020-10-05,U***7847,Balance tarifa mensual mínima para Sep 2020,Other Fee,-,-,-,-6.83,-,-6.83
Transaction History,Data,2020-10-05,U***7847,J*****04:US Consolidated Snapshot for Sep 2020,Other Fee,-,-,-,-0.06,-,-0.06
Transaction History,Data,2020-10-01,U***7847,ARMSTRONG FLOORING INC,Sell,AFI,-12.0,3.37,40.44,-0.442721724,39.997278275999996
Transaction History,Data,2020-09-28,U***7847,SCIPLAY CORP-CLASS A,Buy,SCPL,6.0,16.45,-98.7,-0.987,-99.687
Transaction History,Data,2020-09-23,U***7847,ROCKET COS INC-CLASS A,Sell,RKT,-5.0,21.232,106.16,-1.002941136,105.15705886399999
Transaction History,Data,2020-09-23,U***7847,ROCKET COS INC-CLASS A,Buy,RKT,5.0,21.82,-109.1,-1.0,-110.1
Transaction History,Data,2020-09-23,U***7847,WORKHORSE GROUP INC,Sell,WKHS,-5.0,25.8719,129.3595,-1.003453845,128.356046155
Transaction History,Data,2020-09-18,U***7847,ARMSTRONG FLOORING INC,Buy,AFI,5.0,4.49,-22.45,-0.2245,-22.6745
Transaction History,Data,2020-09-18,U***7847,ARMSTRONG FLOORING INC,Buy,AFI,7.0,4.49,-31.43,-0.3143,-31.7443
